year,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
2020,HIK,225438.0,1.0,57488.0,1.0,282926.0,2.0
2020,HIO,15.0,2.0,0.0,2.0,15.0,4.0
2020,HKY,59599.0,15.0,50592.0,17.0,110191.0,32.0
2020,HLM,250.0,1.0,0.0,1.0,250.0,2.0
2020,HNL,298773808.0,11611.0,600143174.0,12950.0,898916982.0,24561.0
2020,HNS,0.0,1.0,1496.0,1.0,1496.0,2.0
2020,HOM,1703475.0,3474.0,729230.0,3500.0,2432705.0,6974.0
2020,HOU,19440.0,4.0,12120.0,3.0,31560.0,7.0
2020,HPB,46244.0,383.0,1003296.0,385.0,1049540.0,768.0
2020,HRL,37906938.0,802.0,54442690.0,821.0,92349628.0,1623.0
2020,HSL,568.0,30.0,108573.0,32.0,109141.0,62.0
2020,HSV,37883873.0,864.0,48634169.0,848.0,86518042.0,1712.0
2020,HTS,7603561.0,466.0,14741077.0,721.0,22344638.0,1187.0
2020,HUS,1164.0,20.0,373468.0,20.0,374632.0,40.0
2020,HWD,0.0,1.0,907.0,1.0,907.0,2.0
2020,HYA,650680.0,1050.0,231330.0,1041.0,882010.0,2091.0
2020,IAB,7267798.0,86.0,4755029.0,87.0,12022827.0,173.0
2020,IAD,87116118.0,1531.0,106936874.0,1969.0,194052992.0,3500.0
2020,IAG,15377.0,7.0,63921.0,8.0,79298.0,15.0
2020,IAH,304981492.0,5512.0,378769422.0,6033.0,683750914.0,11545.0
2020,IAN,79285.0,203.0,440052.0,203.0,519337.0,406.0
2020,ICT,24706313.0,1505.0,36429293.0,1507.0,61135606.0,3012.0
2020,IDA,2556350.0,466.0,3549542.0,478.0,6105892.0,944.0
2020,IGG,0.0,0.0,600.0,1.0,600.0,1.0
2020,IKO,1150.0,3.0,8842.0,3.0,9992.0,6.0
2020,ILG,20240.0,1.0,0.0,1.0,20240.0,2.0
2020,ILI,591053.0,322.0,1704959.0,324.0,2296012.0,646.0
2020,ILM,1344540.0,256.0,1401491.0,257.0,2746031.0,513.0
2020,ILN,241900252.0,4018.0,200479981.0,3990.0,442380233.0,8008.0
2020,IMT,214905.0,257.0,257429.0,262.0,472334.0,519.0
2020,IND,1045380918.0,16589.0,971389473.0,15867.0,2016770391.0,32456.0
2020,IPL,884337.0,784.0,773006.0,675.0,1657343.0,1459.0
2020,IPT,95164.0,246.0,203055.0,231.0,298219.0,477.0
2020,IRC,0.0,5.0,674.0,5.0,674.0,10.0
2020,ISO,35856.0,1.0,200726.0,1.0,236582.0,2.0
2020,ISP,126062.0,9.0,267298.0,14.0,393360.0,23.0
2020,ITH,9500.0,1.0,0.0,0.0,9500.0,1.0
2020,ITO,15538889.0,2090.0,29533927.0,2122.0,45072816.0,4212.0
2020,IYK,223755.0,253.0,404291.0,494.0,628046.0,747.0
2020,JAC,283362.0,256.0,648790.0,268.0,932152.0,524.0
2020,JAN,6610912.0,420.0,16108690.0,436.0,22719602.0,856.0
2020,JAX,95178329.0,2149.0,104739338.0,2118.0,199917667.0,4267.0
2020,JEF,9300.0,4.0,0.0,4.0,9300.0,8.0
2020,JFK,457151133.0,5970.0,795514221.0,7246.0,1252665354.0,13216.0
2020,JHM,236527.0,274.0,689534.0,494.0,926061.0,768.0
2020,JNU,8082455.0,1892.0,15581659.0,1901.0,23664114.0,3793.0
2020,JVL,4988.0,2.0,0.0,2.0,4988.0,4.0
2020,JZE,4212.0,15.0,25276.0,16.0,29488.0,31.0
2020,JZT,33652.0,52.0,414063.0,61.0,447715.0,113.0
2020,KAL,14842.0,50.0,33554.0,49.0,48396.0,99.0
2020,KBC,1267.0,7.0,15165.0,7.0,16432.0,14.0
2020,KCG,146.0,2.0,0.0,1.0,146.0,3.0
2020,KCL,0.0,0.0,2601.0,2.0,2601.0,2.0
2020,KCR,66.0,2.0,2381.0,2.0,2447.0,4.0
2020,KEB,4765.0,900.0,288403.0,898.0,293168.0,1798.0
2020,KFP,0.0,1.0,0.0,1.0,0.0,2.0
2020,KGX,12716.0,206.0,247823.0,207.0,260539.0,413.0
2020,KKA,25006.0,239.0,235180.0,239.0,260186.0,478.0
2020,KKH,29429.0,362.0,353091.0,360.0,382520.0,722.0
2020,KKI,60420.0,885.0,342424.0,889.0,402844.0,1774.0
2020,KKU,0.0,1.0,2688.0,1.0,2688.0,2.0
2020,KLG,27707.0,593.0,497220.0,589.0,524927.0,1182.0
2020,KLL,0.0,0.0,325.0,2.0,325.0,2.0
2020,KLN,25229.0,809.0,241504.0,808.0,266733.0,1617.0
2020,KLW,63021.0,33.0,13873.0,33.0,76894.0,66.0
2020,KMO,0.0,10.0,39440.0,10.0,39440.0,20.0
2020,KNK,0.0,2.0,0.0,2.0,0.0,4.0
2020,KNW,226.0,18.0,54377.0,11.0,54603.0,29.0
2020,KOA,25514159.0,2161.0,52249013.0,2207.0,77763172.0,4368.0
2020,KOT,19318.0,286.0,333483.0,286.0,352801.0,572.0
2020,KOZ,26824.0,945.0,236520.0,946.0,263344.0,1891.0
2020,KPN,47897.0,776.0,676619.0,777.0,724516.0,1553.0
2020,KSM,1191115.0,1152.0,5098760.0,1156.0,6289875.0,2308.0
2020,KTN,6083814.0,1580.0,9963836.0,1407.0,16047650.0,2987.0
2020,KTS,79778.0,153.0,382984.0,152.0,462762.0,305.0
2020,KUK,47297.0,803.0,335490.0,810.0,382787.0,1613.0
2020,KVC,1045.0,1.0,3401.0,1.0,4446.0,2.0
2020,KVL,81412.0,235.0,598088.0,236.0,679500.0,471.0
2020,KWK,14902.0,283.0,233921.0,282.0,248823.0,565.0
2020,KWN,52630.0,831.0,613458.0,843.0,666088.0,1674.0
2020,KWT,49684.0,836.0,260805.0,837.0,310489.0,1673.0
2020,KYK,15328.0,196.0,86232.0,196.0,101560.0,392.0
2020,KYU,18668.0,32.0,47049.0,32.0,65717.0,64.0
